"OBJECTID","FULLNAME_L","FULLNAME_R","CITY_L","CITY_R","ZIP_L","ZIP_R","ROLL_LEN","Shape_Length","WKT"
71665,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,126.172,126.171818767217,"LINESTRING (-122.322789 47.57745, -122.322282 47.577493)"
74778,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,86.117,86.1169729283494,"LINESTRING (-122.32815 47.596356, -122.328071 47.596586)"
78413,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,168.702,168.701618918909,"LINESTRING (-122.297702 47.425096, -122.297747 47.424635)"
78414,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,188.665,188.664846749008,"LINESTRING (-122.297062 47.447982, -122.297052 47.447889, -122.297007 47.447572, -122.296994 47.447467)"
83422,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,12390.164,12390.164056229,"LINESTRING (-122.27633 47.48573, -122.274496 47.48445, -122.27415 47.484196, -122.273934 47.484019, -122.273766 47.483863, -122.273599 47.483685, -122.27345 47.483499, -122.273354 47.48336, -122.273268 47.483219, -122.273192 47.483075, -122.273127 47.482929, -122.273072 47.482781, -122.273028 47.482631, -122.272995 47.48248, -122.272972 47.482328, -122.272959 47.48208, -122.272975 47.481811, -122.273008 47.481563, -122.273128 47.480823, -122.273148 47.480647, -122.273159 47.48045, -122.273153 47.48021, -122.273127 47.47997, -122.273081 47.479731, -122.273021 47.479516, -122.272969 47.479367, -122.272909 47.479219, -122.272831 47.479051, -122.272738 47.478871, -122.27101 47.475761, -122.270519 47.474875, -122.270381 47.474609, -122.270251 47.47434, -122.270112 47.474031, -122.269983 47.47372, -122.26985 47.473368, -122.269744 47.473054, -122.269615 47.472618, -122.269498 47.47214, -122.268954 47.469555, -122.268885 47.469171, -122.268862 47.468969, -122.268851 47.468793, -122.268849 47.468616, -122.268855 47.468436, -122.268984 47.46701, -122.269005 47.466846, -122.26903 47.46671, -122.269068 47.466575, -122.269111 47.466465, -122.269164 47.466358, -122.269237 47.46624, -122.269312 47.466139, -122.269408 47.466029, -122.269504 47.465936, -122.269622 47.465837, -122.269721 47.465764, -122.269826 47.465696, -122.269938 47.465631, -122.270054 47.465571, -122.270175 47.465516, -122.270301 47.465465, -122.27045 47.465414, -122.270585 47.465374, -122.270722 47.46534, -122.270862 47.465312, -122.271128 47.465274, -122.271423 47.465254, -122.271771 47.465251, -122.272006 47.465261, -122.272264 47.465283, -122.272495 47.465312, -122.272723 47.46535, -122.273073 47.465426, -122.275081 47.4659, -122.275399 47.465964, -122.275712 47.466013, -122.275943 47.466039, -122.276175 47.466058, -122.276408 47.466069, -122.27667 47.466073, -122.276904 47.466069, -122.277137 47.466057, -122.277369 47.466037, -122.277599 47.46601, -122.277855 47.465971, -122.278108 47.465922, -122.278357 47.465865, -122.278617 47.465794, -122.278908 47.465706, -122.279193 47.46561, -122.279471 47.465505, -122.279712 47.465405, -122.279919 47.465312, -122.280149 47.465201, -122.280373 47.465083, -122.28059 47.46496, -122.280893 47.46477, -122.281695 47.464233, -122.28192 47.464096, -122.282132 47.463981, -122.282427 47.463839, -122.282736 47.463711, -122.283058 47.463598, -122.28339 47.4635, -122.283616 47.463444, -122.283846 47.463395, -122.284109 47.463348, -122.284345 47.463314, -122.284583 47.463287, -122.284853 47.463266, -122.285117 47.463255, -122.285324 47.463254, -122.285479 47.463262, -122.285626 47.463276, -122.285772 47.463298, -122.285932 47.463332, -122.286189 47.463406, -122.286658 47.463571)"
85540,"Westlake Sta AcRd","Westlake Sta AcRd","Seattle","Seattle",98101,98101,554.504,554.504292354493,"LINESTRING (-122.337907 47.611014, -122.337406 47.611155, -122.335959 47.611765)"
87600,"ST Light Rail","ST Light Rail","Seattle","Seattle",98144,98144,5268.728,5268.72805697772,"LINESTRING (-122.300131 47.578061, -122.301641 47.578317, -122.301935 47.578368, -122.302105 47.578399, -122.302212 47.578421, -122.30239 47.578459, -122.302601 47.578508, -122.302741 47.578543, -122.302846 47.57857, -122.302949 47.578598, -122.303087 47.578637, -122.303257 47.578689, -122.303428 47.578744, -122.303655 47.578819, -122.306402 47.579742, -122.306851 47.579887, -122.307187 47.579977, -122.307427 47.580029, -122.307588 47.580058, -122.307752 47.580083, -122.307889 47.580101, -122.308027 47.580116, -122.308165 47.580128, -122.308304 47.580137, -122.308444 47.580143, -122.308555 47.580145, -122.308667 47.580146, -122.308806 47.580144, -122.308974 47.580139, -122.309168 47.580126, -122.309279 47.580117, -122.309389 47.580105, -122.309527 47.580088, -122.309636 47.580073, -122.309772 47.58005, -122.309906 47.580025, -122.310013 47.580003, -122.310119 47.579979, -122.310276 47.57994, -122.31048 47.579883, -122.310682 47.579823, -122.311467 47.579581, -122.31268 47.579207, -122.312925 47.579131, -122.313169 47.579051, -122.313366 47.578981, -122.313474 47.57894, -122.313581 47.578897, -122.313687 47.578853, -122.313848 47.578782, -122.314069 47.578677, -122.314287 47.578569, -122.315481 47.577974, -122.315777 47.577829, -122.316018 47.577721, -122.316179 47.577658, -122.316344 47.577599, -122.316488 47.577554, -122.316685 47.577498, -122.31686 47.577456, -122.317038 47.577419, -122.317167 47.577396, -122.31727 47.57738, -122.317374 47.577365, -122.317479 47.577352, -122.317584 47.577342, -122.31769 47.577333, -122.317796 47.577326, -122.317902 47.577321, -122.318008 47.577317, -122.318115 47.577316, -122.318221 47.577316, -122.318354 47.57732, -122.31846 47.577324, -122.318616 47.577335, -122.318772 47.577348, -122.318927 47.577364, -122.319808 47.577455)"
89768,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,169.033,169.03300679998,"LINESTRING (-122.297687 47.424633, -122.297641 47.425096)"
89769,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,188.225,188.2252987841,"LINESTRING (-122.296994 47.447467, -122.296997 47.447983)"
89771,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,864.416,864.415763040422,"LINESTRING (-122.279689 47.521279, -122.279816 47.520803, -122.279862 47.520599, -122.279904 47.520326, -122.279924 47.520076, -122.279923 47.519779, -122.2799 47.519505, -122.279856 47.519233, -122.279783 47.518927)"
