"BUSLIC_ID","BUSLIC_TRADE_NAME","BUSLIC_PHONE_NUM","NAICS DESC","ADDRESS","BUSLIC_OPENDATE","BUSLIC_BUSINESS_ID","WKT"
753420,"TOUS LES JOURS BAKERY",4258027122,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","101 TERRY AVE N, SEATTLE, WA 98109-5225","09/12/2019",841228,"POINT (-122.337533 47.618791)"
769436,"BROADCAST COFFEE",2063220807,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2524 S JACKSON ST # UNIT 101, SEATTLE, WA 98144","07/01/2021",711990,"POINT (-122.298999 47.599429)"
787115,"EMERALD CITY SMOOTHIE",2065269622,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","13510 AURORA AVE N, SEATTLE, WA 98133-7522","05/01/2023",868790,"POINT (-122.343928 47.727293)"
736376,"CEDAR & SPOKES COFFEE",2145581997,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2125 WESTERN AVE # 100, SEATTLE, WA 98121","10/01/2018",827897,"POINT (-122.345915 47.611609)"
747480,"KIKI CAFE & TEAHOUSE",4697812722,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4708 11TH AVE NE, SEATTLE, WA 98105-4610","09/01/2018",836225,"POINT (-122.31611 47.663483)"
760373,"CAFFE VITA & CAFFE FIORE",3017122132,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","224 W GALER ST, SEATTLE, WA 98119-3066","01/01/2020",847042,"POINT (-122.360697 47.632506)"
605427,"ESPRESSO BY DESIGN",2067681061,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","511 S MEAD ST, SEATTLE, WA 98108","05/02/2011",737308,"POINT (-122.327908 47.550957)"
667785,"MOORE COFFEE LLC",2067242333,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1930 2ND AVE, SEATTLE, WA 98101-1102","01/15/2015",779128,"POINT (-122.341139 47.611554)"
797905,"THE ALLEY",9167539805,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","913 S JACKSON ST # B, SEATTLE, WA 98104-5165","07/01/2024",877303,"POINT (-122.320377 47.598888)"
785663,"COMAY BISTRO",2063517553,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1823 EASTLAKE AVE E, SEATTLE, WA 98102-3746","05/01/2023",867631,"POINT (-122.325735 47.635685)"
445232,"DISCOVERY ESPRESSO & JUICE",2062861481,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","3103 W JAMESON ST, SEATTLE, WA 98199","07/20/1999",527976,"POINT (-122.398052 47.659866)"
745718,"THE STATION COFFEE SHOP",2062717302,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1600 S ROBERTO MAESTAS FESTIVA ST, SEATTLE, WA 98144","01/01/2018",834859,"POINT (-122.311705 47.579733)"
751724,"OLYMPIA COFFEE ROASTING CO.",3607530066,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","3840 CALIFORNIA AVE SW, SEATTLE, WA 98116","01/31/2018",839749,"POINT (-122.38652 47.569398)"
776897,"MOONLIGHT HOOKAH LOUNGE",4258911122,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","110 N 36TH ST, SEATTLE, WA 98103-8634","01/08/2022",860721,"POINT (-122.356926 47.653075)"
776164,"MONORAIL ESPRESSO",2063690842,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1411 4TH AVE # C, SEATTLE, WA 98101-2249","04/04/2022",752215,"POINT (-122.336246 47.609225)"
756018,"CAFFE UMBRIA INC",2067625300,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1201 WESTLAKE AVE N, SEATTLE, WA 98109","10/01/2017",547961,"POINT (-122.341409 47.630021)"
769889,"CAFFE VITA & CAFFE FIORE",2067094440,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","472 1ST AVE N # 100, SEATTLE, WA 98109-4721","09/01/2021",847042,"POINT (-122.355092 47.622845)"
752203,"JIBE CAFE",2069318217,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","7001 SEAVIEW AVE NW # 170, SEATTLE, WA 98117-6021","10/10/2019",840189,"POINT (-122.405786 47.680019)"
